Datetime,Temperature (°C),Relative Humidity (%),Precipitation (mm),Wind Speed (m/s),Wind Direction (degrees),Cloud Coverage (%),Thunderstorm Occurrence
2024-05-09 01:00:00,34.0,21,0.0,7.38,282,2,No
2024-05-09 02:00:00,33.3,22,0.0,9.06,287,1,No
2024-05-09 03:00:00,32.5,26,0.0,8.34,288,10,No
2024-05-09 04:00:00,31.6,30,0.0,7.63,289,18,No
2024-05-09 05:00:00,30.7,34,0.0,6.91,290,27,No
2024-05-09 06:00:00,31.6,32,0.0,6.5,290,25,No
2024-05-09 07:00:00,32.4,31,0.0,6.1,290,23,No
2024-05-09 08:00:00,33.2,29,0.0,5.7,290,21,No
2024-05-09 09:00:00,34.0,28,0.0,5.29,290,19,No
2024-05-09 10:00:00,34.8,26,0.0,4.89,291,17,No
2024-05-09 11:00:00,35.6,24,0.0,4.48,291,16,No
2024-05-09 12:00:00,36.4,23,0.0,4.08,291,14,No
2024-05-09 13:00:00,37.2,21,0.0,3.68,291,12,No
2024-05-09 14:00:00,38.0,20,0.0,3.27,291,10,No
2024-05-09 15:00:00,38.9,18,0.0,2.87,292,8,No
